dyno_torque,can_mc_voltage,psu_volt,psu_cur,rpm
-0.8552,89.7,89.6,0,
-0.7088,89.8,89.6,0.2,
-0.7088,89.8,89,0.6,
-0.7088,89.8,89,0.6,
-0.5624,89.7,89.6,0.1,
-0.5624,89.8,89.6,0.2,
-0.5624,89.7,89.6,0.2,
-0.5624,89.7,89.6,0.2,
-0.5624,89.8,89.6,0.2,
-0.5624,89.7,89.6,0.2,
-0.5624,89.7,89.6,0.2,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.2,
-0.416,89.7,8,9.6,
-0.416,89.7,8,9.6,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.1,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.8,89.6,0.1,
-0.416,89.8,89.6,0.1,
-0.416,89.8,89.6,0.2,
-0.416,89.8,89.6,0.2,
-0.416,89.8,89.6,0.2,
-0.416,89.8,89.6,0.2,
-0.416,89.8,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.416,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.8,89.6,0.1,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.1,
-0.2696,89.8,89.6,0.1,
-0.2696,89.8,89.6,0.1,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.1,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89.6,0.1,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.2,
-0.2696,89.8,89.6,0.1,
-0.2696,89.7,89.6,0.1,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89,0.2,
-0.2696,89.7,89,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.2,
-0.2696,89.7,89.6,0.1,
-0.2696,89.8,89.6,0.1,
-0.2696,89.8,89.6,0.2,
-0.2696,89.8,89,6,
-0.2696,89.8,89,6,
-0.2696,89.8,89.6,0.2,
